school,division,gender,jersey,name,position,class_year,height_in,hometown,major,club_team
Maryland,D1,M,18,Jace Clark,D,Jr,74,"Baltimore, MD",Sociology,
Maryland,D1,M,20,Casey Price,D,Fr,74,"Forest Hill, MD",Mechanical Engineering,
Maryland,D1,M,23,Rocket Ritarita,F,So,69,"Canton, GA",Letters & Sciences,
Maryland,D1,M,25,Dennis Kalanzi,F,Fr,71,"Kampala, Uganda",,
Maryland,D1,M,27,Henry Bernstein,M,So,74,"Gladwyne, PA",Letters & Sciences,
Maryland,D1,M,38,Laurin Mack,GK,Jr,73,"Emmendingen, Germany",Communication,
Maryland,D1,M,55,Emil Nymann Anderson,D,So,71,"Thisted, Denmark",Economics,
Maryland,D1,M,90,Farouk Cisse,D,So,73,"Bonn, Germany",Letters & Sciences,
Maryland,D1,M,99,Said El Eyssami,F,Fr,70,"Panama City, Panama",,
Maryland,D1,M,,Franklin Affanyi,D,Fr,73,"Accra-Nungua, Ghana",,
Maryland,D1,M,,Zach Cielewich,GK,Fr,76,"Severna Park, MD",,
Maryland,D1,M,,Lilian Fichelle,D,Jr,71,"Attiches, France",,
Maryland,D1,M,,Rodrigo Neri,F,Fr,73,"Miami, FL",,
Maryland,D1,M,,Marco Wright,F,Sr,71,"Gastonia, NC",,
Maryland,D1,W,0,Maya Cheeseboro,GK,Jr,,"Bethesda, MD",Real Estate and the Built Environment,
Maryland,D1,W,1,Meredith Fisher,GK,So,,"Fairfax Station, VA","Philosophy, Politics, Economics",
Maryland,D1,W,2,Ava Paolini,D,So,,"San Diego, CA",,
Maryland,D1,W,3,Peyton Bernard,F,Sr,,"Rockville, MD",Real Estate and the Built Environment,
Maryland,D1,W,4,Paige Foye,D,Fr,,"Red Bank, NJ",,
Maryland,D1,W,5,Mia Mitchell,D,Jr,,"Fort Mill, SC",Criminal Justice,
Maryland,D1,W,6,Ary Oliver,M,So,,"Woodbridge, VA",,
Maryland,D1,W,7,Faith Luckey,GK,Jr,,"Queen Creek, AZ",Government and Politics,
Maryland,D1,W,8,Emily Lenhard,M,Jr,,"Stafford, VA",Operations Management,
Maryland,D1,W,9,Jolie Farmer,F,So,,"Tampa, FL",,
Maryland,D1,W,11,Drew Bernard,D,Jr,,"Rockville, MD",Real Estate and the Built Environment,
Maryland,D1,W,12,Mikayla Gray,D,So,,"Doylestown, PA",Biological Sciences,
Maryland,D1,W,13,Ella Petry,M,Fr,,"Mount Pleasant, SC",,
Maryland,D1,W,15,Mckinley Heaven,F,So,,"Rockville, MD",Letters and Sciences,
Maryland,D1,W,16,Daryn Barnes,F,Fr,,"Baltimore, MD",,
Maryland,D1,W,17,Greyson Tischer,M,Fr,,"Towson, MD",,
Maryland,D1,W,18,Elysa Greco,M,Fr,,"Whitby, Ontario",,
Maryland,D1,W,20,Gemma Davitian,F,So,,"Bethesda, MD",Letters and Sciences,
Maryland,D1,W,21,Lilly Bane,M,So,,"Pittsburgh, PA",,
Maryland,D1,W,22,Lisa McIntyre,F,Sr,,"Philadelphia, PA",Criminal Justice,
Maryland,D1,W,23,Morgan Shannon,D,Fr,,"Olney, MD",,
Maryland,D1,W,24,Kamryn Cole,M,Fr,,"Olathe, KS",,
Maryland,D1,W,25,Abigail Stager,F,So,,"Pittsburgh, PA",,
Maryland,D1,W,28,Ella Bulava,D,Jr,,"Latrobe, PA",Kinesiology,
Maryland,D1,W,29,Sam Winer,D,So,,"Arlington, VA",Operations Management & Business Analytics,
Maryland,D1,W,32,Taryn Raibon,D,Jr,,"Laguna Niguel, CA",Criminal Justice,
Maryland,D1,W,47,Ellie Egeland,M,Jr,,"Long Grove, IL",Marketing,
Maryland,D1,W,99,Dani Gichner,D,Jr,,"Northbrook, IL",Biological Sciences,
Creighton,D1,M,1,Matthew Hudson,GK,So,73.0,"Marion, Iowa",,
